iter	Passed	Remaining
931	2107	153
932	2110	151
933	2112	149
934	2114	147
935	2116	144
936	2119	142
937	2121	140
938	2124	137
939	2126	135
940	2128	133
941	2130	131
942	2133	128
943	2135	126
944	2138	124
945	2140	122
946	2143	119
947	2145	117
948	2148	115
949	2150	113
950	2152	110
951	2155	108
952	2157	106
953	2160	104
954	2162	101
955	2164	99
956	2167	97
957	2169	95
958	2172	92
959	2174	90
960	2176	88
961	2179	86
962	2181	83
963	2183	81
964	2185	79
965	2188	77
966	2190	74
967	2193	72
968	2195	70
969	2198	67
970	2200	65
971	2202	63
972	2205	61
973	2207	58
974	2210	56
975	2212	54
976	2214	52
977	2216	49
978	2219	47
979	2221	45
980	2223	43
981	2226	40
982	2228	38
983	2230	36
984	2233	34
985	2235	31
986	2237	29
987	2240	27
988	2242	24
989	2244	22
990	2246	20
991	2249	18
992	2252	15
993	2254	13
994	2257	11
995	2260	9
996	2262	6
997	2265	4
998	2267	2
999	2270	0
