iter	Accuracy	MultiClass
465	0.9029842764	0.4892998441
466	0.9028773131	0.4885915742
467	0.9025564231	0.4878272833
468	0.9028773131	0.487387463
469	0.9025564231	0.4871244025
470	0.9037330196	0.4864471103
471	0.9034121296	0.4862525951
472	0.9040539095	0.4858533196
473	0.9037330196	0.4853353188
474	0.9053374692	0.4847506594
475	0.9048026527	0.4844236893
476	0.9069419189	0.4833741019
477	0.9071558455	0.4829278018
478	0.9069419189	0.48220644
479	0.9077976254	0.4814697408
480	0.9081185153	0.4808159984
481	0.9082254787	0.4802984955
482	0.908011552	0.4795728654
483	0.9088672585	0.4790104829
484	0.909722965	0.4782972247
485	0.9092951118	0.4777405078
486	0.9095090384	0.4775304601
487	0.9095090384	0.477307067
488	0.910043855	0.4771826549
489	0.9104717082	0.4767471407
490	0.9107925981	0.4764151018
491	0.911434378	0.4756459633
492	0.9115413413	0.4750787505
493	0.9103647449	0.4746349864
494	0.9103647449	0.4744282236
495	0.9108995615	0.4738605631
496	0.9112204514	0.473193618
497	0.9101508183	0.4725844612
498	0.9106856348	0.4719036324
499	0.9105786715	0.4714505385
500	0.9112204514	0.4713135309
501	0.9107925981	0.4710452762
502	0.9121831212	0.4700534628
503	0.9136806076	0.4692910546
504	0.9140014975	0.4683511084
505	0.9137875709	0.4677660473
506	0.9134666809	0.4672466508
507	0.9137875709	0.4668112201
508	0.913145791	0.4664416034
509	0.9135736442	0.4661637131
510	0.9140014975	0.4652808206
511	0.9147502407	0.4646920099
512	0.9146432774	0.4644371005
513	0.9153920205	0.4639402699
514	0.9159268371	0.4636040055
515	0.9156059472	0.4629435319
516	0.9159268371	0.4625690632
517	0.9151780939	0.4619403699
518	0.9152850572	0.4613246901
519	0.9146432774	0.4610921999
520	0.916568617	0.4605983212
521	0.916247727	0.4603481518
522	0.9164616537	0.4599473616
523	0.9181730666	0.4593911954
524	0.9187078832	0.4589262345
525	0.919670553	0.4583734855
526	0.9197775163	0.4575794421
527	0.9195635897	0.4571584575
528	0.9195635897	0.4569227899
529	0.9205262595	0.4564945848
530	0.9203123329	0.4560070759
531	0.9203123329	0.4555153369
532	0.9200984062	0.454433954
533	0.9208471494	0.4538645841
534	0.9205262595	0.4535842818
535	0.9207401861	0.4528744985
536	0.9203123329	0.4525745724
537	0.9206332228	0.4523562736
538	0.9207401861	0.451804888
539	0.9212750027	0.4515049751
540	0.9210610761	0.4511989447
541	0.9210610761	0.450667243
542	0.9214889293	0.4502274602
543	0.921381966	0.4493794609
544	0.9220237459	0.4490057871
545	0.9237351588	0.4486519088
546	0.9236281955	0.4479292509
547	0.9235212322	0.4467664243
548	0.9243769387	0.4465672141
549	0.9246978286	0.4464484976
550	0.9245908653	0.4455574066
551	0.924483902	0.4448610228
552	0.9253396085	0.4442379237
553	0.9250187186	0.4435819149
554	0.9254465718	0.4429272622
555	0.9258744251	0.4422652072
556	0.9272649481	0.4413672184
557	0.9290833244	0.4405206948
558	0.9287624345	0.4397610669
559	0.929297251	0.4392535931
560	0.9294042144	0.4389116286
561	0.9294042144	0.4382631079
562	0.929618141	0.4377384428
563	0.9294042144	0.4374784419
564	0.9301529575	0.4367189115
565	0.9303668842	0.4363434204
566	0.9307947374	0.4360717707
567	0.9311156273	0.4354602353
568	0.9319713338	0.4350706948
569	0.931329554	0.4342477377
570	0.9315434806	0.4341200188
571	0.931329554	0.4336213105
572	0.9316504439	0.4330760819
573	0.9319713338	0.432096489
574	0.932720077	0.4313571534
575	0.932720077	0.4305972356
576	0.932720077	0.4304913217
577	0.9331479303	0.4298928873
578	0.9331479303	0.4293899711
579	0.9336827468	0.4290694666
580	0.9338966734	0.4286002753
581	0.9338966734	0.4283052548
582	0.9341106001	0.4275836128
583	0.9337897101	0.4271418235
584	0.9337897101	0.4266548161
585	0.9335757835	0.4263121336
586	0.9342175634	0.4259635558
587	0.9346454166	0.4255532425
588	0.9346454166	0.4250147327
589	0.9345384533	0.4245914983
590	0.9348593432	0.4244018438
591	0.9350732699	0.4238116981
592	0.9355011231	0.423390192
593	0.9362498663	0.4230016496
594	0.9362498663	0.4228358647
595	0.9362498663	0.4222048944
596	0.9363568296	0.4217426937
597	0.936142903	0.4213804953
598	0.9359289764	0.4210344654
599	0.9366777195	0.4203879957
600	0.9367846829	0.4197425471
601	0.9372125361	0.4194666625
602	0.9372125361	0.419201889
603	0.937533426	0.4189755369
604	0.9382821692	0.4182645254
605	0.9380682426	0.4179208251
606	0.937533426	0.4176434147
607	0.9377473527	0.4173714292
608	0.9387100225	0.4167300315
609	0.9382821692	0.4162949509
610	0.9389239491	0.4156824161
611	0.9387100225	0.4155021851
612	0.9397796556	0.4150471846
613	0.9397796556	0.4147891293
614	0.9404214354	0.4144599031
615	0.9398866189	0.4142324651
616	0.9405283988	0.4138182644
617	0.9405283988	0.4135511213
618	0.9401005455	0.4130554781
619	0.9406353621	0.4126129132
620	0.9410632153	0.411866011
621	0.9410632153	0.4115386846
622	0.9415980319	0.4113115981
623	0.942667665	0.4108608301
624	0.9427746283	0.4107046743
625	0.9427746283	0.4099648235
626	0.9422398117	0.4094491492
627	0.9425607017	0.4091405328
628	0.9427746283	0.4084428027
