iter	Passed	Remaining
911	2582	249
912	2585	246
913	2587	243
914	2590	240
915	2592	237
916	2594	234
917	2596	231
918	2599	229
919	2601	226
920	2603	223
921	2606	220
922	2608	217
923	2610	214
924	2612	211
925	2614	208
926	2616	206
927	2619	203
928	2621	200
929	2623	197
930	2625	194
931	2627	191
932	2629	188
933	2632	186
934	2634	183
935	2637	180
936	2639	177
937	2641	174
938	2643	171
939	2645	168
940	2647	166
941	2649	163
942	2651	160
943	2653	157
944	2656	154
945	2658	151
946	2660	148
947	2662	146
948	2664	143
949	2667	140
950	2669	137
951	2671	134
952	2673	131
953	2676	129
954	2678	126
955	2680	123
956	2683	120
957	2685	117
958	2687	114
959	2689	112
960	2691	109
961	2693	106
962	2696	103
963	2698	100
964	2700	97
965	2702	95
966	2704	92
967	2707	89
968	2709	86
969	2711	83
970	2713	81
971	2715	78
972	2718	75
973	2720	72
974	2722	69
975	2725	67
976	2727	64
977	2729	61
978	2732	58
979	2735	55
980	2737	53
981	2740	50
982	2742	47
983	2745	44
984	2748	41
985	2750	39
986	2753	36
987	2756	33
988	2759	30
989	2761	27
990	2764	25
991	2767	22
992	2769	19
993	2771	16
994	2774	13
995	2776	11
996	2779	8
997	2781	5
998	2784	2
999	2787	0
